iter	Passed	Remaining
632	4511	2615
633	4519	2608
634	4526	2601
635	4533	2594
636	4539	2586
637	4547	2580
638	4553	2572
639	4560	2565
640	4567	2558
641	4574	2550
642	4580	2543
643	4587	2535
644	4594	2528
645	4600	2521
646	4606	2513
647	4613	2506
648	4620	2498
649	4627	2491
650	4634	2484
651	4640	2476
652	4647	2469
653	4654	2462
654	4660	2454
655	4667	2447
656	4674	2440
657	4681	2433
658	4688	2425
659	4695	2418
660	4703	2412
661	4709	2404
662	4716	2397
663	4723	2390
664	4729	2382
665	4736	2375
666	4743	2368
667	4750	2360
668	4756	2353
669	4763	2346
670	4769	2338
671	4775	2330
672	4781	2323
673	4789	2316
674	4795	2308
675	4802	2301
676	4809	2294
677	4815	2287
678	4822	2279
679	4830	2273
680	4836	2265
681	4843	2258
682	4850	2251
683	4857	2243
684	4863	2236
685	4869	2229
686	4877	2222
687	4885	2215
688	4894	2209
689	4902	2202
690	4910	2195
691	4918	2189
692	4926	2182
693	4933	2175
694	4941	2168
695	4949	2161
696	4956	2154
697	4965	2148
698	4973	2141
699	4982	2135
700	4990	2128
701	4998	2121
702	5006	2115
703	5014	2108
704	5022	2101
705	5030	2094
706	5038	2088
707	5046	2081
708	5053	2074
709	5061	2067
710	5068	2060
711	5077	2053
712	5084	2046
713	5092	2039
714	5100	2033
715	5108	2026
716	5115	2019
717	5123	2012
718	5130	2005
719	5138	1998
720	5145	1991
721	5151	1983
722	5157	1976
723	5164	1968
724	5171	1961
725	5177	1954
726	5184	1947
727	5190	1939
728	5196	1931
729	5204	1925
730	5212	1918
731	5219	1911
732	5226	1903
733	5234	1896
734	5240	1889
735	5247	1882
736	5254	1875
737	5261	1867
738	5268	1860
739	5275	1853
740	5282	1846
741	5288	1838
742	5295	1831
743	5302	1824
744	5309	1817
745	5316	1810
746	5323	1803
747	5330	1795
748	5336	1788
749	5343	1781
750	5350	1773
751	5357	1766
752	5363	1759
753	5370	1752
754	5377	1744
755	5384	1737
756	5391	1730
757	5397	1723
758	5405	1716
759	5411	1708
760	5418	1701
761	5425	1694
762	5432	1687
763	5439	1680
764	5446	1673
765	5452	1665
766	5459	1658
767	5466	1651
768	5473	1644
769	5480	1637
770	5486	1629
771	5494	1622
772	5501	1615
773	5508	1608
774	5513	1600
775	5520	1593
776	5527	1586
777	5534	1579
778	5540	1571
779	5547	1564
780	5554	1557
781	5561	1550
782	5568	1543
783	5575	1536
784	5582	1529
785	5590	1522
786	5596	1514
787	5603	1507
788	5609	1500
789	5616	1493
790	5625	1486
791	5633	1479
792	5641	1472
793	5648	1465
794	5658	1458
795	5666	1452
796	5675	1445
797	5683	1438
798	5691	1431
799	5699	1424
800	5706	1417
801	5715	1411
802	5724	1404
803	5733	1397
804	5741	1390
805	5749	1383
806	5757	1376
807	5764	1369
808	5772	1362
809	5779	1355
810	5787	1348
811	5794	1341
812	5802	1334
813	5810	1327
814	5818	1320
815	5825	1313
816	5832	1306
817	5840	1299
818	5847	1292
819	5853	1285
820	5861	1277
821	5868	1270
822	5874	1263
823	5881	1256
824	5888	1249
825	5895	1241
826	5901	1234
827	5909	1227
828	5916	1220
829	5922	1213
830	5929	1205
831	5935	1198
832	5943	1191
833	5950	1184
834	5957	1177
835	5963	1169
836	5970	1162
837	5976	1155
838	5983	1148
839	5989	1140
840	5996	1133
841	6003	1126
842	6010	1119
843	6017	1112
844	6024	1105
845	6031	1097
846	6037	1090
847	6044	1083
848	6050	1076
849	6058	1069
850	6064	1061
851	6071	1054
852	6078	1047
853	6085	1040
854	6091	1033
855	6098	1025
856	6105	1018
857	6111	1011
858	6118	1004
859	6125	997
860	6132	990
861	6139	982
862	6145	975
863	6152	968
864	6159	961
865	6167	954
866	6175	947
867	6182	940
868	6189	932
869	6195	925
870	6202	918
871	6209	911
872	6215	904
873	6223	897
874	6230	890
875	6236	882
876	6243	875
877	6250	868
878	6256	861
879	6262	854
880	6269	846
881	6276	839
882	6283	832
883	6290	825
884	6296	818
885	6302	810
886	6310	803
887	6316	796
888	6322	789
889	6329	782
890	6336	775
891	6344	768
892	6350	760
893	6357	753
894	6363	746
895	6370	739
896	6377	732
897	6385	725
898	6392	718
899	6398	710
900	6406	703
901	6413	696
902	6420	689
903	6427	682
904	6434	675
905	6441	668
906	6449	661
907	6456	654
908	6463	647
909	6471	639
910	6478	632
911	6484	625
912	6491	618
913	6500	611
914	6507	604
915	6514	597
916	6520	590
917	6528	583
918	6535	576
919	6542	568
920	6548	561
921	6556	554
922	6563	547
923	6570	540
924	6577	533
925	6583	526
926	6590	518
927	6597	511
928	6604	504
929	6610	497
930	6616	490
931	6623	483
932	6629	476
933	6635	468
934	6642	461
935	6649	454
936	6656	447
937	6663	440
938	6670	433
939	6676	426
940	6683	419
941	6690	411
942	6697	404
943	6704	397
944	6711	390
945	6717	383
946	6725	376
947	6732	369
948	6739	362
949	6746	355
950	6752	347
951	6758	340
952	6764	333
953	6772	326
954	6778	319
955	6786	312
956	6792	305
957	6799	298
958	6806	290
959	6813	283
960	6820	276
961	6827	269
962	6833	262
963	6840	255
964	6847	248
965	6853	241
966	6860	234
967	6867	227
968	6873	219
969	6881	212
970	6887	205
971	6895	198
972	6902	191
973	6908	184
974	6915	177
975	6921	170
976	6927	163
977	6935	156
978	6943	148
979	6951	141
980	6959	134
981	6966	127
982	6973	120
983	6979	113
984	6986	106
985	6993	99
986	7000	92
987	7006	85
988	7013	78
989	7020	70
990	7027	63
991	7034	56
992	7041	49
993	7048	42
994	7054	35
995	7062	28
996	7068	21
997	7074	14
998	7081	7
999	7088	0
